index,date,crypto_name,direction,signal_type,status,price_buy,stop_price,qtd
76474,2022-10-03 01:13:35+00:00,SFPUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76478,2022-10-03 01:15:09+00:00,DOGEUSDT,LONG,NEW,BUY,0.0597,0.0579,4806.0
76479,2022-10-03 01:15:21+00:00,DASHUSDT,LONG,NEW,BUY,40.14,38.94,7.15
76482,2022-10-03 01:15:25+00:00,VETUSDT,LONG,NEW,,,,
76481,2022-10-03 01:15:22+00:00,DASHUSDT,LONG,NEW,,,,
76480,2022-10-03 01:15:22+00:00,VETUSDT,LONG,NEW,BUY,0.0227,0.022,12635.0
76483,2022-10-03 01:16:43+00:00,DOGEUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76486,2022-10-03 01:17:57+00:00,VETUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76487,2022-10-03 01:20:38+00:00,CTKUSDT,LONG,NEW,BUY,0.861,0.8352,332.0
76491,2022-10-03 01:21:03+00:00,IOSTUSDT,LONG,NEW,,,,
76490,2022-10-03 01:21:01+00:00,BCHUSDT,LONG,NEW,,,,
76489,2022-10-03 01:21:01+00:00,IOSTUSDT,LONG,NEW,BUY,0.0116,0.0113,24709.0
76493,2022-10-03 01:21:13+00:00,XLMUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76492,2022-10-03 01:21:05+00:00,BCHUSDT,LONG,NEW,BUY,115.7,112.2,2.48
76494,2022-10-03 01:21:46+00:00,CTKUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76496,2022-10-03 01:22:40+00:00,IOSTUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76505,2022-10-03 01:25:06+00:00,NEOUSDT,LONG,NEW,,,,
76504,2022-10-03 01:25:05+00:00,CELRUSDT,LONG,NEW,,,,
76503,2022-10-03 01:25:05+00:00,CHRUSDT,LONG,NEW,BUY,0.1478,0.1434,1934.0
76506,2022-10-03 01:25:08+00:00,CELRUSDT,LONG,NEW,BUY,0.015,0.0145,19055.0
76507,2022-10-03 01:25:39+00:00,THETAUSDT,LONG,NEW,BUY,1.04,1.01,274.0
76513,2022-10-03 01:25:49+00:00,HOTUSDT,LONG,NEW,,,,
76510,2022-10-03 01:25:45+00:00,SXPUSDT,LONG,NEW,BUY,0.344,0.3337,830.0
76515,2022-10-03 01:25:54+00:00,GRTUSDT,LONG,NEW,BUY,0.0954,0.0925,2994.0
76518,2022-10-03 01:26:02+00:00,OMGUSDT,LONG,NEW,,,,
76517,2022-10-03 01:26:01+00:00,ZILUSDT,LONG,NEW,,,,
76516,2022-10-03 01:26:01+00:00,TOMOUSDT,LONG,NEW,BUY,0.4392,0.426,650.0
76522,2022-10-03 01:26:57+00:00,CHRUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76521,2022-10-03 01:26:53+00:00,CELRUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76525,2022-10-03 01:27:21+00:00,GRTUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76529,2022-10-03 01:27:46+00:00,KSMUSDT,OPEN_ORDER,CLOSE,,,,
76531,2022-10-03 01:27:58+00:00,SXPUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76533,2022-10-03 01:28:20+00:00,THETAUSDT,LONG,CLOSE,SELL,0.0,0.0,0.0
76534,2022-10-03 01:30:01+00:00,ETHUSDT,LONG,NEW,BUY,1293.0,1254.0,0.221
76542,2022-10-03 01:30:07+00:00,ONEUSDT,LONG,NEW,,,,
76541,2022-10-03 01:30:06+00:00,LTCUSDT,LONG,NEW,,,,
